data_hora,cidade,temperatura,umidade,precipitacao,precipitacao_24h,ndwi,risco_previsto
2026-05-09 08:00:00,Sao_Paulo,22.1,62.0,0.0,0.1,-0.2542796246003193,Baixo
2026-05-09 09:00:00,Sao_Paulo,22.8,63.0,0.0,0.1,-0.2542796246003193,Baixo
2026-05-09 10:00:00,Sao_Paulo,23.5,61.0,0.0,0.1,-0.2542796246003193,Baixo
2026-05-09 11:00:00,Sao_Paulo,25.5,54.0,0.0,0.1,-0.2542796246003193,Baixo
2026-05-09 12:00:00,Sao_Paulo,26.8,46.0,0.0,0.1,-0.2542796246003193,Baixo
2026-05-09 13:00:00,Sao_Paulo,28.0,40.0,0.0,0.1,-0.2542796246003193,Baixo
2026-05-09 14:00:00,Sao_Paulo,28.1,37.0,0.0,0.1,-0.2542796246003193,Baixo
2026-05-09 15:00:00,Sao_Paulo,27.9,35.0,0.0,0.1,-0.2542796246003193,Baixo
2026-05-09 16:00:00,Sao_Paulo,27.5,36.0,0.0,0.1,-0.2542796246003193,Baixo
2026-05-09 17:00:00,Sao_Paulo,27.0,39.0,0.0,0.1,-0.2542796246003193,Baixo
2026-05-09 18:00:00,Sao_Paulo,26.0,44.0,0.0,0.1,-0.2542796246003193,Baixo
2026-05-09 19:00:00,Sao_Paulo,24.6,51.0,0.0,0.0,-0.2542796246003193,Baixo
2026-05-09 20:00:00,Sao_Paulo,22.9,69.0,0.0,0.0,-0.2542796246003193,Baixo
2026-05-09 21:00:00,Sao_Paulo,20.6,90.0,0.0,0.0,-0.2542796246003193,Baixo
2026-05-09 22:00:00,Sao_Paulo,20.0,89.0,0.0,0.0,-0.2542796246003193,Baixo
2026-05-09 23:00:00,Sao_Paulo,19.7,90.0,0.0,0.0,-0.2542796246003193,Baixo
2026-05-10 00:00:00,Sao_Paulo,18.9,92.0,0.0,0.0,-0.2542796246003193,Baixo
2026-05-10 01:00:00,Sao_Paulo,18.3,90.0,0.0,0.0,-0.2542796246003193,Baixo
2026-05-10 02:00:00,Sao_Paulo,17.7,88.0,0.1,0.1,-0.2542796246003193,Baixo
2026-05-10 03:00:00,Sao_Paulo,16.9,86.0,0.1,0.2,-0.2542796246003193,Baixo
2026-05-10 04:00:00,Sao_Paulo,16.6,86.0,0.0,0.2,-0.2542796246003193,Baixo
2026-05-10 05:00:00,Sao_Paulo,16.1,88.0,0.0,0.2,-0.2542796246003193,Baixo
2026-05-10 06:00:00,Sao_Paulo,15.8,91.0,0.3,0.5,-0.2542796246003193,Baixo
2026-05-10 07:00:00,Sao_Paulo,15.6,91.0,0.4,0.9,-0.2542796246003193,Baixo
2026-05-10 08:00:00,Sao_Paulo,16.0,88.0,0.4,1.3,-0.2542796246003193,Baixo
2026-05-10 09:00:00,Sao_Paulo,15.2,86.0,0.6,1.9,-0.2542796246003193,Baixo
2026-05-10 10:00:00,Sao_Paulo,15.6,83.0,0.1,2.0,-0.2542796246003193,Baixo
2026-05-10 11:00:00,Sao_Paulo,16.2,80.0,0.0,2.0,-0.2542796246003193,Baixo
2026-05-10 12:00:00,Sao_Paulo,16.1,81.0,0.1,2.1,-0.2542796246003193,Baixo
